temperature,oxygen,heat,humidity,pressure
464,141,3,880,710
344,402,436,685,783
720,482,80,665,703
804,500,424,829,981
855,442,278,210,258
442,625,495,650,834
144,408,489,349,884
930,183,813,125,785
569,126,866,839,607
555,866,710,867,844
69,450,257,625,823
942,744,504,584,729
283,690,417,185,31
255,332,107,753,880
178,738,88,967,745
480,73,156,769,168
412,913,947,947,592
242,684,57,689,112
517,19,85,801,953
491,644,401,632,15
113,665,509,761,638
564,909,255,573,799
747,938,695,734,705
105,760,10,106,246
331,668,339,969,926
133,460,837,23,126
602,152,71,213,101
203,683,561,467,906
535,550,286,806,433
9,928,875,284,483
173,412,735,574,754
506,731,93,890,343
799,963,816,234,72
69,956,998,59,398
167,295,966,736,622
854,461,986,355,531
688,669,208,765,703
994,968,402,456,124
597,490,247,9,424
921,727,326,773,764
616,776,564,342,683
58,714,525,830,619
960,536,329,44,123
600,102,222,117,347
33,777,430,510,415
528,825,25,725,116
846,226,822,559,67
864,786,388,168,706
199,607,553,74,976
655,799,170,863,186
560,800,105,162,552
325,538,508,842,133
77,190,300,584,590
192,729,459,614,172
832,438,52,932,719
442,515,963,879,805
979,570,38,296,387
551,675,749,515,62
33,747,188,86,319
556,476,633,878,290
263,205,402,375,41
258,521,378,515,510
252,721,853,519,860
54,136,1,595,204
548,792,752,719,942
383,782,957,531,833
382,740,318,681,666
201,678,25,454,530
783,673,817,889,193
143,942,556,105,918
859,686,675,316,811
789,213,632,169,490
89,600,734,816,51
14,978,85,604,285
650,492,503,694,170
984,121,369,973,148
241,944,777,586,700
186,683,909,126,865
205,262,708,496,590
273,689,443,393,799
745,953,131,724,710
449,670,188,476,774
636,886,705,328,522
370,740,871,295,116
492,664,728,738,298
657,74,161,510,744
503,927,427,681,464
35,830,791,331,274
959,165,727,411,646
531,200,408,356,521
254,553,311,982,931
218,604,269,582,65
76,494,460,420,319
169,473,102,478,144
223,655,711,399,469
198,515,960,478,504
365,259,615,790,259
939,332,548,352,626
259,71,336,291,90
939,901,222,937,774
714,418,706,722,416
994,11,568,850,623
742,113,646,380,663
374,974,135,296,553
405,382,448,718,946
8,597,403,469,541
648,289,65,806,803
611,272,464,736,466
172,921,422,6,703
226,125,392,92,15
384,469,163,803,454
521,349,800,975,284
998,664,608,543,202
162,20,966,580,857
591,337,993,887,2
576,374,688,686,749
394,138,781,949,408
837,619,49,637,551
39,117,570,502,110
611,514,780,218,139
963,354,985,992,724
451,719,531,597,762
977,316,187,790,698
487,553,771,620,739
695,404,334,272,762
299,245,427,772,969
21,149,311,404,734
751,788,604,52,541
87,256,157,689,309
951,428,225,877,969
391,134,248,479,314
280,8,56,574,726
984,751,900,850,726
654,575,463,115,906
847,767,10,483,863
780,204,993,220,816
168,492,598,629,468
745,949,864,55,944
19,315,429,138,194
65,187,780,671,260
815,489,475,214,658
366,74,808,345,252
516,489,946,808,63
671,322,630,964,893
119,582,246,895,597
810,498,741,757,845
406,855,972,564,91
120,281,11,630,213
891,928,52,929,130
206,477,74,77,194
122,324,172,238,372
880,54,80,138,959
890,327,810,570,326
540,937,465,181,569
193,419,307,23,271
931,968,106,418,890
920,771,284,353,339
602,505,92,174,988
130,887,174,282,91
920,673,638,453,173
745,252,26,763,274
954,928,249,404,172
747,1,111,981,678
364,291,187,370,154
336,115,253,632,373
13,155,14,202,126
291,821,377,140,875
415,957,344,607,488
284,702,502,697,999
493,896,84,317,932
240,354,464,782,217
922,283,21,395,681
78,400,316,175,971
302,157,778,564,745
525,833,753,822,492
970,973,760,17,109
551,362,858,857,578
761,798,925,553,712
873,362,295,145,710
843,600,715,265,895
210,126,178,680,363
833,88,10,958,80
106,50,885,480,782
545,708,447,176,213
351,553,296,838,614
122,60,857,199,134
517,310,833,71,515
789,127,753,494,390
194,490,844,539,130
929,866,260,782,220
285,537,983,200,978
364,232,464,358,851
958,124,771,770,131
756,861,737,114,953
394,995,337,63,977
106,889,902,464,754
466,973,646,771,418
682,434,37,373,437
299,790,633,80,135
454,858,491,713,809
481,218,663,523,403
140,868,626,376,529
164,687,191,329,966
730,641,991,776,899
841,380,595,836,140
662,327,818,448,928
275,916,541,684,54
636,213,469,596,239
817,383,404,435,775
396,456,654,510,800
530,130,225,560,211
638,740,873,941,66
853,199,568,483,474
418,400,157,794,12
874,292,24,870,861
387,34,60,929,162
607,22,325,407,696
847,580,711,258,806
316,611,162,331,977
775,320,183,547,208
801,465,888,518,435
544,969,965,583,928
632,123,618,287,875
838,703,702,698,800
903,480,33,119,627
427,793,800,740,744
350,29,134,421,493
186,480,148,731,918
3,391,109,198,564
752,37,675,140,783
652,781,355,741,619
558,294,87,699,551
469,801,292,160,676
12,402,205,516,601
428,817,623,416,833
213,527,745,402,986
161,922,496,829,287
197,885,944,191,146
269,288,98,245,231
552,768,973,846,171
46,61,227,517,525
334,970,751,556,116
179,315,867,950,296
651,619,854,787,102
143,324,1,342,498
391,870,908,838,557
933,870,523,284,44
542,81,652,835,196
324,223,195,65,396
424,419,339,723,552
33,928,432,517,972
874,824,189,144,366
858,29,477,994,963
636,569,140,558,740
472,812,406,781,77
122,254,501,629,781
