temperature,oxygen,heat,humidity,pressure
341,822,697,308,127
381,16,744,613,292
1000,780,184,225,133
851,683,669,540,668
218,208,476,203,808
572,974,223,535,283
807,235,783,973,168
517,32,584,1,871
111,128,328,444,704
241,739,544,142,234
647,763,250,910,1
800,172,356,851,813
731,324,365,126,285
932,486,602,913,100
736,748,349,799,152
652,502,665,753,504
441,610,923,767,447
823,945,768,976,438
524,543,437,960,382
829,167,450,206,124
588,51,2,667,583
965,873,803,293,614
191,406,776,441,269
63,540,447,701,127
189,366,153,708,843
971,241,789,44,801
103,939,726,652,669
53,188,608,101,621
862,405,867,515,683
691,717,957,596,541
231,323,957,471,591
521,498,621,382,885
997,98,814,361,8
191,409,972,818,541
110,610,800,781,890
766,1000,585,902,236
107,882,848,130,553
600,815,903,50,341
791,356,688,843,778
186,891,315,591,21
801,635,34,847,424
681,275,964,407,539
612,554,444,818,226
986,359,608,194,944
292,636,99,130,327
411,984,582,78,503
837,478,593,443,496
214,241,312,840,514
609,992,487,979,861
531,452,216,468,851
531,822,3,623,195
90,836,630,984,138
257,493,687,478,187
872,365,849,922,738
419,223,955,872,999
169,26,637,188,796
27,487,102,518,152
237,284,295,925,623
684,511,489,779,145
858,402,590,703,151
507,874,423,585,840
417,162,617,363,267
666,27,138,714,650
162,406,803,113,589
986,615,798,830,882
681,757,159,542,868
277,47,235,116,968
303,821,561,963,519
419,737,733,64,944
275,297,127,130,825
315,10,985,766,263
825,317,862,374,121
870,670,54,860,730
300,388,957,91,156
939,756,473,935,756
795,435,451,565,565
125,361,33,161,457
911,471,34,291,263
387,611,429,279,158
914,444,252,428,411
391,414,197,774,449
576,318,307,933,353
82,874,733,768,880
231,429,978,805,425
267,138,617,181,238
887,151,728,91,844
339,704,243,75,456
513,110,675,242,342
68,753,691,143,697
664,9,664,650,96
567,699,497,91,879
190,342,238,497,987
577,873,9,62,168
11,54,487,618,543
146,357,986,853,295
418,211,595,52,502
271,12,453,730,798
774,846,321,350,315
76,157,828,602,527
944,761,689,40,398
159,47,514,275,317
310,733,514,332,951
544,456,937,503,307
103,17,562,404,519
116,674,734,960,618
892,655,501,457,717
910,82,394,226,584
812,451,442,61,206
305,22,820,403,610
278,385,938,235,162
533,917,583,37,704
875,321,681,439,777
616,374,837,416,740
74,482,926,944,406
524,304,417,571,37
971,261,227,615,510
51,41,858,457,949
52,73,727,643,949
505,221,41,353,777
819,825,18,62,964
91,946,750,264,301
914,467,678,284,651
402,887,153,404,338
18,331,553,950,943
282,774,252,367,62
294,752,831,165,647
596,120,885,939,416
516,728,272,247,937
359,632,980,434,59
4,546,325,455,809
285,20,134,48,776
290,278,202,921,487
284,116,252,410,304
729,832,911,218,381
691,539,688,584,462
500,437,555,344,200
928,19,780,173,439
684,315,955,73,747
915,620,401,663,904
741,320,875,565,507
216,634,459,728,522
907,68,702,282,162
26,827,632,231,975
948,140,409,640,574
8,630,477,822,927
685,95,154,310,749
755,900,554,223,804
411,616,944,252,871
254,928,436,357,505
53,779,893,854,295
677,759,837,569,7
734,171,602,110,759
857,730,77,627,803
93,140,64,736,857
941,873,51,311,960
528,442,885,972,133
34,256,135,992,127
533,861,605,80,757
283,565,247,791,526
