temperature,oxygen,heat,humidity,pressure
562,19,477,991,198
899,279,455,941,769
359,497,326,312,382
434,841,986,944,429
118,991,376,354,497
194,636,271,977,268
901,369,119,470,455
302,146,600,47,568
141,374,354,692,719
313,9,89,843,226
889,830,775,203,353
286,899,428,416,354
191,16,663,974,804
457,103,771,805,188
39,371,709,148,697
384,564,850,846,977
975,626,487,262,265
622,56,496,632,213
773,288,348,353,691
224,149,594,954,887
237,419,21,292,675
989,265,242,326,669
327,473,964,109,837
169,361,537,620,794
331,235,370,927,422
557,656,978,92,776
222,968,28,862,60
659,775,413,881,491
662,807,304,171,983
16,944,20,1,340
467,957,360,58,546
142,502,370,597,224
675,243,238,653,596
729,213,18,902,410
367,100,170,218,127
288,883,204,170,367
194,650,501,629,111
509,129,742,478,928
299,432,895,898,443
866,667,407,153,387
351,893,229,857,52
164,264,278,173,627
498,921,627,29,748
439,291,821,954,865
647,444,369,549,938
487,979,432,707,812
866,276,741,337,381
695,831,572,202,262
124,51,117,523,422
404,872,310,521,682
212,424,43,430,708
406,129,246,112,122
671,550,5,182,73
57,316,552,359,268
487,635,122,100,188
