temperature,oxygen,heat,humidity,pressure
931,258,702,350,497
659,510,477,889,242
784,355,805,798,758
33,669,597,693,913
96,959,529,796,138
275,418,990,262,912
656,684,785,37,829
376,667,11,411,295
58,81,821,369,984
546,278,197,225,333
484,719,212,563,359
725,343,642,268,454
492,98,623,49,766
996,744,160,59,796
545,487,55,504,495
114,205,455,110,515
814,841,794,570,519
515,99,107,316,400
879,173,545,894,778
873,539,884,871,761
41,389,368,622,851
790,369,56,325,325
637,172,289,480,846
765,772,38,787,833
852,707,961,426,883
171,543,77,573,340
941,57,557,843,324
76,921,969,307,729
792,145,938,435,917
734,585,882,451,37
841,313,886,135,1000
90,708,833,429,520
542,925,190,243,244
877,612,351,989,181
226,233,357,938,154
964,180,375,88,59
316,275,734,507,451
64,546,10,532,814
143,983,895,375,854
791,660,298,659,253
69,229,274,213,681
990,924,547,434,934
796,516,227,994,429
797,388,753,778,858
210,759,262,469,665
176,435,74,452,677
160,372,509,328,580
481,455,214,666,459
898,566,432,462,889
993,472,981,796,904
685,276,155,286,24
616,403,39,174,851
362,147,942,111,325
715,960,473,574,551
168,436,573,875,470
351,917,691,446,170
802,520,705,742,766
158,789,855,840,361
690,882,577,793,822
576,145,886,617,590
46,469,869,300,496
387,178,176,733,46
181,208,751,652,726
1000,798,162,525,145
944,501,380,381,6
45,304,246,900,866
737,873,797,441,87
554,66,582,760,802
420,448,747,9,384
33,150,469,143,754
503,426,985,348,688
656,650,816,60,76
798,146,318,648,566
233,902,652,800,553
697,264,694,715,657
118,772,910,281,875
845,877,75,118,240
22,669,942,49,185
753,833,421,650,574
366,242,406,782,446
606,438,53,60,880
649,900,422,752,341
86,953,413,335,129
540,635,113,458,527
867,698,935,887,254
452,510,689,430,270
344,79,695,780,977
730,55,644,791,855
609,370,617,142,998
688,441,685,415,427
89,954,666,689,396
253,118,191,123,120
183,239,441,17,778
475,389,374,232,492
497,233,976,259,47
827,826,456,43,274
680,296,426,394,714
822,865,134,87,178
801,906,717,291,266
321,894,320,379,974
791,675,507,219,978
718,112,958,719,295
732,781,142,758,985
670,704,369,16,991
249,70,899,747,297
278,783,540,66,282
821,796,434,3,14
22,93,324,641,220
430,116,650,507,630
463,480,371,359,246
853,126,517,174,123
202,933,441,171,664
286,305,693,907,257
802,438,515,690,528
791,213,610,470,222
472,307,751,168,551
760,362,873,542,889
769,682,60,591,806
736,283,70,770,400
462,822,506,449,624
852,63,997,814,32
497,86,717,841,585
720,458,529,428,504
677,460,17,467,403
233,286,807,759,356
995,23,61,127,913
174,550,535,74,886
346,678,158,768,380
352,386,503,939,522
613,351,257,758,351
683,949,592,497,308
227,492,871,154,473
782,371,792,552,284
79,648,373,876,789
333,770,608,522,479
437,57,914,694,488
899,960,355,563,499
885,238,233,424,537
252,523,84,982,971
169,583,321,17,311
824,944,275,60,946
47,518,261,878,735
844,939,858,198,638
