roll,pitch,depth,pressure
3470,3470,3470,3470
3471,3471,3471,3471
3472,3472,3472,3472
3473,3473,3473,3473
3474,3474,3474,3474
3475,3475,3475,3475
3476,3476,3476,3476
3477,3477,3477,3477
3478,3478,3478,3478
3479,3479,3479,3479
3480,3480,3480,3480
3481,3481,3481,3481
3482,3482,3482,3482
3483,3483,3483,3483
3484,3484,3484,3484
3485,3485,3485,3485
3486,3486,3486,3486
3487,3487,3487,3487
3488,3488,3488,3488
3489,3489,3489,3489
3490,3490,3490,3490
3491,3491,3491,3491
3492,3492,3492,3492
3493,3493,3493,3493
3494,3494,3494,3494
3495,3495,3495,3495
3496,3496,3496,3496
3497,3497,3497,3497
3498,3498,3498,3498
3499,3499,3499,3499
3500,3500,3500,3500
3501,3501,3501,3501
3502,3502,3502,3502
3503,3503,3503,3503
3504,3504,3504,3504
3505,3505,3505,3505
3506,3506,3506,3506
3507,3507,3507,3507
3508,3508,3508,3508
3509,3509,3509,3509
3510,3510,3510,3510
3511,3511,3511,3511
3512,3512,3512,3512
3513,3513,3513,3513
3514,3514,3514,3514
3515,3515,3515,3515
3516,3516,3516,3516
3517,3517,3517,3517
3518,3518,3518,3518
3519,3519,3519,3519
3520,3520,3520,3520
3521,3521,3521,3521
3522,3522,3522,3522
3523,3523,3523,3523
3524,3524,3524,3524
3525,3525,3525,3525
3526,3526,3526,3526
3527,3527,3527,3527
3528,3528,3528,3528
3529,3529,3529,3529
3530,3530,3530,3530
3531,3531,3531,3531
3532,3532,3532,3532
3533,3533,3533,3533
3534,3534,3534,3534
3535,3535,3535,3535
3536,3536,3536,3536
3537,3537,3537,3537
3538,3538,3538,3538
3539,3539,3539,3539
3540,3540,3540,3540
3541,3541,3541,3541
3542,3542,3542,3542
3543,3543,3543,3543
3544,3544,3544,3544
3545,3545,3545,3545
3546,3546,3546,3546
3547,3547,3547,3547
3548,3548,3548,3548
3549,3549,3549,3549
3550,3550,3550,3550
3551,3551,3551,3551
3552,3552,3552,3552
3553,3553,3553,3553
3554,3554,3554,3554
3555,3555,3555,3555
3556,3556,3556,3556
3557,3557,3557,3557
3558,3558,3558,3558
3559,3559,3559,3559
3560,3560,3560,3560
3561,3561,3561,3561
3562,3562,3562,3562
3563,3563,3563,3563
3564,3564,3564,3564
3565,3565,3565,3565
3566,3566,3566,3566
3567,3567,3567,3567
3568,3568,3568,3568
3569,3569,3569,3569
3570,3570,3570,3570
3571,3571,3571,3571
3572,3572,3572,3572
3573,3573,3573,3573
3574,3574,3574,3574
3575,3575,3575,3575
3576,3576,3576,3576
3577,3577,3577,3577
3578,3578,3578,3578
3579,3579,3579,3579
3580,3580,3580,3580
3581,3581,3581,3581
3582,3582,3582,3582
3583,3583,3583,3583
3584,3584,3584,3584
3585,3585,3585,3585
3586,3586,3586,3586
3587,3587,3587,3587
3588,3588,3588,3588
3589,3589,3589,3589
3590,3590,3590,3590
3591,3591,3591,3591
3592,3592,3592,3592
3593,3593,3593,3593
3594,3594,3594,3594
3595,3595,3595,3595
3596,3596,3596,3596
3597,3597,3597,3597
3598,3598,3598,3598
