temperature,oxygen,heat,humidity,pressure
693,447,713,676,503
778,733,700,993,195
752,74,472,903,449
408,379,650,918,362
148,281,632,848,126
602,463,309,765,837
849,821,461,206,327
102,237,921,172,248
906,330,312,261,394
580,182,22,140,41
712,61,492,738,976
863,882,863,297,812
303,303,778,809,601
725,917,64,48,633
419,385,70,309,849
288,421,903,257,2
262,187,454,315,160
59,418,272,698,813
924,983,382,135,762
649,315,893,515,631
560,295,109,68,62
743,222,738,877,158
614,134,402,877,387
710,846,312,273,744
682,676,884,117,71
26,268,835,170,494
425,608,491,10,803
541,691,215,329,219
265,622,358,461,284
309,894,557,195,827
104,576,265,652,516
877,873,427,681,640
120,398,531,390,837
5,25,72,542,652
834,235,237,883,617
414,375,511,892,759
206,437,159,362,590
897,856,830,503,518
378,297,279,960,670
154,665,814,250,124
422,140,655,231,540
189,586,522,888,525
121,334,272,780,102
972,740,480,631,118
773,240,603,492,888
857,491,208,500,110
295,283,354,104,189
164,922,546,463,48
89,126,181,786,46
923,393,363,109,305
68,362,410,148,351
174,664,532,717,790
588,262,336,306,924
803,444,17,466,352
538,882,951,456,274
946,554,964,797,937
393,993,945,165,590
305,382,248,112,156
821,413,205,101,258
918,75,942,652,929
437,22,530,682,309
81,232,87,293,178
461,243,670,880,730
962,685,58,604,188
476,262,828,629,543
7,647,514,193,235
551,466,63,348,966
520,771,533,685,636
915,462,305,471,849
948,711,938,617,745
674,120,505,596,262
132,558,525,115,762
551,1,846,903,832
328,797,203,790,503
749,189,617,409,94
931,650,912,32,537
244,622,501,825,712
5,697,69,377,928
704,708,724,152,687
371,792,656,641,927
862,153,51,763,493
508,977,56,275,99
391,572,803,759,815
860,235,773,950,417
175,960,7,183,138
