temperature,oxygen,heat,humidity,pressure
417,943,893,975,704
861,770,383,848,753
932,123,530,898,871
632,553,548,406,44
743,812,869,656,919
766,455,318,795,145
587,426,445,211,947
921,221,278,815,271
119,815,355,196,102
899,927,333,785,562
609,566,813,215,210
682,513,721,811,961
27,614,171,108,845
836,691,595,664,787
709,841,304,925,229
56,573,369,627,416
125,417,507,721,971
406,292,655,392,400
623,959,220,464,357
165,322,834,436,180
114,17,137,192,853
877,740,983,690,395
382,852,229,309,843
239,395,988,557,946
402,746,295,62,973
302,140,297,981,230
711,763,656,18,376
150,299,101,982,16
726,591,557,105,686
121,926,286,287,144
67,789,475,355,966
904,617,274,482,870
376,24,45,673,63
94,504,921,431,584
533,970,396,786,437
820,410,794,564,233
182,685,684,367,970
760,347,816,776,788
517,770,810,301,551
430,737,217,35,159
589,404,939,712,269
873,620,880,526,155
106,863,601,729,268
702,100,398,898,319
236,523,86,194,617
103,702,981,731,674
537,401,795,481,766
170,560,907,84,3
568,889,804,786,609
877,695,331,868,700
2,918,849,155,317
373,488,674,811,378
570,661,783,230,191
868,346,122,50,467
837,735,865,154,236
943,639,547,1000,556
747,370,263,875,618
814,395,274,218,163
424,767,105,729,716
824,431,469,3,50
305,613,345,579,441
786,744,350,686,79
3,685,202,261,678
382,706,714,233,450
494,913,391,461,755
532,657,115,875,298
645,86,883,855,866
650,718,498,134,80
405,455,443,621,465
938,983,184,448,93
5,467,479,31,608
872,288,882,428,550
78,938,581,416,723
557,356,640,630,996
804,347,508,438,35
718,606,600,404,19
46,966,613,537,190
958,708,892,130,584
485,262,424,336,121
580,688,321,993,513
396,370,215,24,686
34,822,146,874,615
63,900,799,567,964
524,405,471,102,199
832,607,402,874,848
413,557,522,323,208
249,710,686,808,83
878,363,451,105,696
471,123,357,187,460
536,619,369,543,33
142,846,793,261,17
951,970,327,433,75
437,95,48,698,105
191,143,287,778,424
923,948,961,125,673
510,702,794,859,4
88,645,608,648,295
911,618,369,938,168
241,543,282,56,950
626,720,441,630,582
192,539,547,377,803
207,254,141,860,672
974,128,583,680,104
616,247,795,713,572
392,376,471,353,177
466,593,748,513,757
574,148,719,749,569
899,726,915,96,563
943,2,798,707,819
703,602,584,69,541
737,307,771,220,492
326,241,863,59,709
941,695,858,485,974
683,98,48,649,90
277,540,929,288,426
80,489,567,944,572
779,531,620,754,202
752,491,708,43,884
185,387,519,232,564
171,524,25,619,273
411,766,976,263,797
423,353,964,994,767
120,655,370,311,659
978,598,57,273,972
270,488,595,333,47
906,927,219,188,736
359,787,116,567,892
362,695,220,999,681
921,835,189,696,5
148,59,101,543,765
70,531,603,699,265
365,953,538,744,778
164,304,844,46,724
647,514,806,376,304
598,665,236,909,280
775,641,252,700,742
654,551,693,619,507
543,606,264,771,477
358,4,977,112,680
142,870,286,217,566
816,276,436,88,763
67,342,658,926,891
689,888,640,962,119
134,602,322,664,70
608,350,161,553,160
29,376,279,490,879
436,26,756,239,17
391,453,398,732,286
320,934,314,669,245
195,342,338,742,441
390,441,15,413,432
105,811,835,232,325
166,660,560,986,874
846,733,754,660,658
798,324,707,6,498
496,247,796,160,956
939,442,393,22,750
915,882,533,981,155
45,498,192,351,715
575,191,747,870,786
58,744,909,509,766
55,661,97,758,561
1000,560,274,275,587
555,376,346,898,611
34,705,357,101,858
651,672,433,66,271
543,54,196,729,318
969,381,296,183,617
997,356,664,841,598
344,713,888,872,158
53,88,235,144,87
138,652,618,230,812
212,633,852,849,530
108,456,721,441,625
924,782,949,413,696
532,970,663,736,117
348,901,735,350,574
862,586,595,803,122
423,708,953,338,538
672,322,848,963,689
230,805,633,276,530
197,765,726,372,90
928,152,356,486,226
300,328,57,861,23
425,149,871,464,934
556,20,794,245,822
248,461,444,113,928
271,178,228,440,212
433,467,962,161,54
834,403,551,509,605
558,642,257,403,544
198,436,864,508,850
185,573,516,509,725
342,880,82,227,26
476,272,172,92,407
900,81,615,197,142
825,730,924,258,255
928,806,729,65,473
668,412,198,597,6
722,573,683,837,990
451,428,683,82,322
484,262,311,627,773
836,139,221,917,405
874,805,9,972,536
601,603,893,628,76
397,877,179,853,184
548,156,478,614,348
526,456,560,228,854
441,911,834,548,998
821,816,129,806,657
783,713,577,758,201
758,545,613,78,724
801,278,484,776,616
955,579,192,75,39
560,673,797,942,461
892,325,647,744,774
71,571,339,56,908
959,903,162,764,286
743,33,72,143,169
673,245,210,250,844
380,864,15,15,25
89,805,265,730,54
288,192,679,25,16
531,545,239,563,80
615,115,690,178,811
724,275,239,412,243
215,77,693,736,474
771,74,63,26,935
817,777,668,295,127
231,667,698,708,483
379,750,666,453,893
432,120,742,136,393
162,118,54,560,749
740,925,651,136,360
550,880,719,169,669
385,938,541,614,380
142,188,636,650,337
361,599,282,61,501
473,819,536,425,692
99,505,99,117,291
305,134,931,906,822
625,975,409,834,344
184,669,285,871,447
969,99,462,14,769
566,620,150,590,377
327,509,61,619,939
547,567,395,996,28
51,926,887,84,508
647,979,181,429,252
188,359,250,221,810
180,521,327,953,699
562,437,337,336,110
784,93,303,750,313
43,717,79,200,924
648,350,96,716,68
975,915,231,719,742
920,742,451,872,267
18,157,293,361,806
161,485,557,511,955
904,407,879,480,565
202,621,977,683,587
907,908,405,164,505
180,875,816,960,415
997,561,758,312,200
588,478,544,244,15
811,461,669,84,493
19,776,555,557,252
964,573,926,526,667
440,867,233,898,910
388,502,938,136,896
315,485,292,276,607
67,811,845,806,401
723,740,726,367,929
