depth,roll,pressure,pitch
4169.0,5236.0,4169.0,5236.0
4173.0,5237.0,4172.0,5236.0
4173.0,5237.0,4172.0,5236.0
4175.0,5237.0,4175.0,5237.0
4175.0,5238.0,4175.0,5237.0
4175.0,5238.0,4175.0,5237.0
4179.0,5243.0,4178.0,5243.0
4180.0,5244.0,4178.0,5244.0
4180.0,5244.0,4178.0,5244.0
4181.0,5247.0,4180.0,5247.0
4182.0,5247.0,4181.0,5247.0
4182.0,5247.0,4182.0,5247.0
4184.0,5253.0,4183.0,5252.0
418.0,5253.0,4185.0,5253.0
41.0,5255.0,4186.0,5254.0
41.0,5255.0,4187.0,5255.0
4189.0,5257.0,4187.0,5257.0
4189.0,5257.0,4187.0,5257.0
4191.0,5258.0,4190.0,5257.0
4191.0,5258.0,4190.0,5258.0
4193.0,5258.0,4192.0,5258.0
4195.0,5260.0,4194.0,5259.0
4195.0,5260.0,4195.0,5259.0
4196.0,5261.0,4196.0,5261.0
4197.0,5264.0,4196.0,5264.0
4199.0,5265.0,4198.0,5265.0
4201.0,5267.0,4200.0,5267.0
4202.0,5271.0,4201.0,5271.0
4202.0,5273.0,4201.0,5272.0
4202.0,5274.0,4201.0,5274.0
4203.0,5278.0,4201.0,5277.0
4.0,5279.0,4205.0,5277.0
4.0,5279.0,4205.0,5277.0
4208.0,5283.0,4207.0,5282.0
4208.0,5283.0,4208.0,5282.0
4208.0,5287.0,4208.0,5286.0
4213.0,5288.0,4212.0,5288.0
4.0,5288.0,4212.0,5.0
4.0,5288.0,4212.0,5.0
4.0,5288.0,4212.0,5.0
4215.0,5291.0,4215.0,5290.0
4215.0,5291.0,4215.0,5290.0
4215.0,5291.0,4215.0,5290.0
4215.0,5291.0,4215.0,5290.0
4218.0,5293.0,4217.0,5293.0
4219.0,5296.0,4219.0,5295.0
4221.0,5296.0,4220.0,5296.0
4222.0,5299.0,4221.0,5298.0
4226.0,5300.0,4226.0,5300.0
4226.0,5305.0,4226.0,5304.0
42.0,5308.0,4228.0,5307.0
42.0,5308.0,4228.0,5307.0
42.0,5308.0,4228.0,5308.0
42.0,5308.0,4231.0,5308.0
42.0,5309.0,4231.0,5308.0
4233.0,5309.0,423.0,5308.0
4233.0,5311.0,423.0,5310.0
4236.0,5311.0,4235.0,5311.0
4236.0,5316.0,42.0,5315.0
4237.0,5320.0,42.0,5320.0
4238.0,5320.0,4237.0,5320.0
4239.0,5322.0,4238.0,5322.0
4240.0,5323.0,4240.0,5322.0
4242.0,5323.0,4242.0,5322.0
4243.0,5323.0,4242.0,5322.0
4244.0,5324.0,4244.0,5324.0
4244.0,5325.0,4245.0,5325.0
4247.0,5327.0,4246.0,5326.0
4247.0,5328.0,4246.0,5328.0
4247.0,5328.0,4246.0,5328.0
4249.0,5329.0,4248.0,5328.0
4251.0,5337.0,4250.0,5337.0
4252.0,5338.0,4250.0,5338.0
4253.0,5340.0,4253.0,5339.0
4254.0,5342.0,4253.0,5341.0
4254.0,5342.0,4253.0,5341.0
4254.0,5342.0,4254.0,5341.0
4256.0,5343.0,4256.0,5341.0
4258.0,5344.0,4258.0,5344.0
4259.0,5346.0,4259.0,5345.0
4259.0,5346.0,4259.0,5345.0
4260.0,5346.0,4259.0,5346.0
4262.0,5347.0,4261.0,5346.0
4263.0,5349.0,4262.0,5348.0
4263.0,5349.0,4263.0,5349.0
4265.0,5352.0,4265.0,5351.0
4266.0,5356.0,4265.0,5355.0
4267.0,5356.0,4266.0,5356.0
4267.0,5356.0,4267.0,5356.0
4270.0,5361.0,4269.0,5361.0
4270.0,5361.0,4269.0,5361.0
4271.0,536.0,4271.0,5363.0
4271.0,536.0,4271.0,5363.0
4272.0,5365.0,4272.0,5365.0
4273.0,5367.0,4272.0,5367.0
4273.0,5369.0,4273.0,5368.0
4274.0,5370.0,4273.0,5369.0
4274.0,5370.0,4273.0,5370.0
4274.0,5370.0,4273.0,5370.0
4275.0,5373.0,4274.0,5372.0
4277.0,5375.0,4276.0,5375.0
4277.0,5376.0,4276.0,5376.0
4278.0,5376.0,4277.0,5376.0
4278.0,5377.0,4278.0,5376.0
4278.0,5377.0,4278.0,5376.0
4278.0,5377.0,4278.0,5377.0
4279.0,5379.0,4279.0,5378.0
4279.0,5379.0,4279.0,5378.0
4280.0,5381.0,4280.0,5380.0
4281.0,5384.0,4281.0,5384.0
4282.0,5388.0,4281.0,5387.0
4286.0,5389.0,4286.0,5388.0
4289.0,5389.0,4289.0,5388.0
4290.0,5390.0,4289.0,5390.0
4292.0,5394.0,4292.0,5394.0
4294.0,5396.0,4294.0,5.0
4296.0,5397.0,4295.0,5397.0
4296.0,5398.0,4295.0,5397.0
4297.0,5400.0,4296.0,5400.0
4300.0,5401.0,4300.0,5400.0
4301.0,5402.0,4300.0,5402.0
4301.0,5402.0,4300.0,5402.0
4302.0,5404.0,4301.0,5404.0
4302.0,5405.0,4302.0,5405.0
4303.0,5406.0,4302.0,5405.0
4303.0,5406.0,4302.0,5405.0
4304.0,5408.0,4304.0,5407.0
4307.0,5412.0,4307.0,5412.0
4307.0,5412.0,4307.0,5412.0
4308.0,5412.0,4307.0,5412.0
4313.0,5415.0,4312.0,5415.0
4313.0,5416.0,4312.0,5415.0
4313.0,5416.0,4312.0,5415.0
4315.0,5424.0,4315.0,5424.0
4320.0,5424.0,4320.0,5424.0
4.0,5429.0,4323.0,5428.0
4.0,5429.0,4323.0,5428.0
4325.0,5433.0,4325.0,5433.0
4327.0,5433.0,4327.0,5433.0
4327.0,5434.0,4327.0,5434.0
4329.0,5436.0,4327.0,5435.0
4329.0,5438.0,4327.0,5438.0
4331.0,54.0,4.0,5438.0
4331.0,54.0,4.0,5438.0
4331.0,5441.0,4.0,5441.0
4332.0,5443.0,4.0,5441.0
4333.0,5444.0,4332.0,5444.0
4336.0,5445.0,433.0,5445.0
4337.0,5445.0,433.0,5447.0
4338.0,5445.0,433.0,5447.0
4338.0,5445.0,433.0,5447.0
4339.0,5449.0,4338.0,5448.0
4339.0,5449.0,4339.0,5448.0
4341.0,5449.0,4341.0,5448.0
4342.0,5451.0,4341.0,5450.0
4342.0,5451.0,4341.0,5450.0
4345.0,5456.0,4344.0,5455.0
4347.0,5456.0,4346.0,5455.0
4347.0,5456.0,4347.0,5455.0
4348.0,5459.0,4347.0,5458.0
4352.0,5463.0,4351.0,5463.0
4352.0,5466.0,4351.0,5465.0
4352.0,5468.0,4353.0,5467.0
4354.0,5468.0,4353.0,5467.0
4354.0,5468.0,4353.0,5467.0
4354.0,5471.0,4354.0,5470.0
4355.0,5471.0,4355.0,5470.0
4357.0,5471.0,4356.0,5471.0
4357.0,5473.0,4357.0,5472.0
4358.0,5479.0,4357.0,5478.0
4359.0,54.0,4358.0,5482.0
4359.0,5484.0,4358.0,5483.0
4359.0,5484.0,4358.0,5483.0
4359.0,5484.0,4358.0,5483.0
4363.0,5485.0,4363.0,5485.0
4368.0,5485.0,4367.0,5485.0
4368.0,5.0,4367.0,5489.0
4369.0,5.0,4368.0,5490.0
4372.0,5.0,4372.0,5490.0
4372.0,5.0,4372.0,5490.0
4374.0,5494.0,4373.0,5493.0
4375.0,5497.0,4375.0,5497.0
4377.0,5500.0,4376.0,5499.0
4379.0,5501.0,4378.0,5501.0
4379.0,5501.0,4378.0,5501.0
4381.0,5501.0,4381.0,5501.0
4382.0,5503.0,4382.0,5502.0
4382.0,5505.0,4383.0,5504.0
4382.0,5506.0,4383.0,5506.0
4382.0,5507.0,4383.0,5506.0
4382.0,5507.0,4383.0,5507.0
4386.0,5507.0,4383.0,5507.0
4386.0,5513.0,4386.0,5512.0
4387.0,5515.0,4387.0,5514.0
4389.0,5518.0,4388.0,5518.0
4389.0,5519.0,4388.0,5518.0
4389.0,5519.0,4388.0,5518.0
4391.0,5519.0,4390.0,5519.0
4391.0,5522.0,4390.0,5522.0
4391.0,5522.0,4390.0,5522.0
4393.0,5525.0,4392.0,5525.0
4393.0,5527.0,4392.0,5527.0
4393.0,5529.0,4393.0,5528.0
4395.0,5529.0,4395.0,5528.0
4396.0,5530.0,4396.0,5530.0
4396.0,5530.0,4396.0,5530.0
4396.0,5531.0,4396.0,5530.0
4398.0,5536.0,4397.0,5536.0
4398.0,5536.0,4397.0,5536.0
4399.0,5537.0,4399.0,5537.0
4401.0,5539.0,4400.0,5539.0
4405.0,5541.0,4404.0,5541.0
4405.0,5544.0,4405.0,5544.0
4408.0,5547.0,4407.0,5546.0
4410.0,5548.0,4409.0,5548.0
4410.0,5551.0,4409.0,5550.0
4410.0,5551.0,4409.0,5551.0
4411.0,5553.0,4411.0,5553.0
4412.0,5553.0,4411.0,5553.0
4412.0,5553.0,4411.0,5553.0
4414.0,5553.0,4414.0,5555.0
4414.0,5556.0,4414.0,5556.0
4415.0,5559.0,4414.0,5559.0
4415.0,5559.0,4414.0,5559.0
4415.0,5559.0,4414.0,5559.0
4423.0,5563.0,4422.0,5562.0
4423.0,5564.0,4422.0,5563.0
4423.0,5564.0,4423.0,5564.0
4426.0,5565.0,4425.0,5564.0
4427.0,5565.0,4426.0,5564.0
4429.0,5570.0,4428.0,5569.0
4429.0,5570.0,4428.0,5569.0
4431.0,5570.0,4430.0,5569.0
4432.0,5570.0,4432.0,5569.0
4433.0,5572.0,4433.0,5571.0
4435.0,5572.0,4434.0,5572.0
4442.0,5575.0,4441.0,5575.0
4442.0,5575.0,4441.0,5575.0
4442.0,5576.0,4441.0,5575.0
4443.0,5577.0,4441.0,5576.0
4443.0,5587.0,4443.0,5586.0
4444.0,5587.0,4444.0,5586.0
4446.0,5587.0,4445.0,5586.0
4449.0,5588.0,4449.0,5586.0
4449.0,5588.0,4449.0,5586.0
4451.0,5589.0,4451.0,5589.0
4451.0,5591.0,4452.0,5590.0
4451.0,5591.0,4452.0,5590.0
4454.0,5594.0,4454.0,5594.0
4454.0,5594.0,4454.0,5594.0
4454.0,5598.0,4454.0,5597.0
4456.0,5600.0,4456.0,5597.0
4457.0,5600.0,4456.0,5597.0
4457.0,5600.0,4456.0,5597.0
4458.0,5601.0,4457.0,5601.0
4458.0,5605.0,4458.0,5604.0
4459.0,5607.0,4458.0,5607.0
4462.0,5608.0,4461.0,5607.0
4462.0,5609.0,4461.0,5609.0
4462.0,5609.0,4462.0,5.0
4463.0,5612.0,4462.0,5.0
4464.0,5613.0,4463.0,5.0
4464.0,5613.0,4463.0,5613.0
4464.0,5615.0,4463.0,5615.0
4465.0,5615.0,4464.0,56.0
4465.0,5617.0,4465.0,56.0
4469.0,5618.0,4468.0,56.0
4469.0,5619.0,4468.0,5618.0
4470.0,5620.0,4470.0,5620.0
4471.0,5623.0,4470.0,5622.0
4473.0,5623.0,4472.0,5622.0
4473.0,5623.0,4472.0,5622.0
4474.0,5624.0,4474.0,5624.0
4474.0,5628.0,4474.0,5628.0
4477.0,5628.0,4476.0,5628.0
4479.0,5628.0,4479.0,5628.0
44.0,5630.0,4481.0,5630.0
44.0,5631.0,4481.0,5630.0
4485.0,5635.0,4484.0,5.0
4485.0,5635.0,4485.0,5.0
4486.0,5635.0,4485.0,5636.0
4.0,5638.0,4487.0,5638.0
4.0,5640.0,4487.0,5640.0
4488.0,5641.0,4487.0,5641.0
4488.0,5643.0,4488.0,5642.0
4489.0,5646.0,4488.0,5646.0
4492.0,5647.0,4491.0,5647.0
4493.0,5647.0,4493.0,5647.0
4495.0,5649.0,4495.0,5649.0
4495.0,5651.0,4495.0,5650.0
4496.0,5651.0,4495.0,5650.0
4496.0,5651.0,4495.0,5650.0
4496.0,5652.0,4495.0,5652.0
4498.0,5658.0,4498.0,5658.0
4500.0,565.0,4499.0,5659.0
4500.0,565.0,4499.0,5659.0
4500.0,5661.0,4500.0,5661.0
4501.0,5662.0,4501.0,5661.0
4501.0,5663.0,4501.0,5663.0
4502.0,5667.0,4501.0,5666.0
4502.0,5668.0,4502.0,5667.0
4509.0,5668.0,4509.0,5667.0
4510.0,5669.0,4510.0,5669.0
4511.0,5671.0,4510.0,5671.0
4512.0,5671.0,4511.0,5671.0
4512.0,5671.0,4511.0,5671.0
4512.0,5672.0,4512.0,5671.0
4514.0,5672.0,4513.0,5672.0
4514.0,5672.0,4513.0,5672.0
4514.0,5672.0,4513.0,5672.0
4514.0,5672.0,4513.0,5672.0
4517.0,5674.0,4516.0,5674.0
4518.0,5678.0,4518.0,5678.0
4518.0,5684.0,4518.0,5684.0
4519.0,5686.0,4518.0,5685.0
4522.0,5688.0,4522.0,5685.0
4523.0,5689.0,4522.0,5688.0
4524.0,5690.0,4523.0,5689.0
4524.0,5690.0,4524.0,5690.0
4530.0,5691.0,4529.0,5690.0
4530.0,5692.0,4529.0,5692.0
4532.0,5692.0,4531.0,5692.0
4532.0,5693.0,4531.0,5692.0
4533.0,5694.0,4531.0,5693.0
4533.0,5696.0,4533.0,5695.0
4534.0,5696.0,4533.0,5695.0
