temperature,oxygen,heat,humidity,pressure
331,447,319,913,809
200,690,424,984,636
615,422,501,296,652
601,116,107,463,1000
36,216,8,959,343
870,248,71,351,108
873,870,851,787,250
597,805,348,605,421
796,277,180,383,954
407,646,241,663,825
592,243,191,795,618
433,128,596,219,317
572,193,644,798,8
942,314,927,884,849
304,299,821,460,511
222,352,647,688,573
238,944,979,244,51
706,866,493,602,38
420,921,25,991,839
530,958,1000,312,713
419,706,149,984,650
416,300,725,664,878
145,657,380,365,434
894,464,113,327,509
267,799,354,544,763
820,446,144,262,823
617,411,165,276,204
718,206,239,796,722
792,360,860,615,294
771,56,369,823,353
532,160,730,265,292
341,45,579,110,339
765,864,716,365,571
160,322,101,541,329
607,879,914,282,693
201,36,877,196,608
631,935,892,967,456
355,261,466,602,277
524,112,773,151,683
398,647,186,308,369
199,218,806,923,233
689,234,692,208,366
42,649,495,837,931
321,57,738,153,250
537,839,89,870,194
943,509,883,821,737
571,16,987,608,241
614,860,378,298,125
813,199,734,448,239
730,681,821,892,3
611,372,769,576,58
448,974,292,722,731
39,562,132,337,654
520,964,138,973,569
654,82,435,776,408
590,863,848,185,507
53,219,510,928,859
553,49,337,711,690
66,484,325,230,296
390,139,72,921,595
548,139,16,790,132
956,36,727,42,585
3,323,634,327,641
287,838,604,938,335
397,167,502,862,476
260,854,100,873,322
533,1000,547,861,836
544,982,248,191,965
50,941,1000,70,526
254,307,965,845,268
899,158,335,985,679
944,485,13,970,905
929,542,384,103,657
315,534,795,751,857
439,718,778,933,379
845,437,773,340,753
436,4,933,17,108
847,793,389,205,379
570,298,240,224,413
795,797,685,64,925
751,834,42,968,783
48,285,268,355,917
21,884,7,567,534
14,772,226,44,827
985,75,902,114,289
747,167,841,672,82
104,436,470,483,599
856,695,702,855,241
70,15,358,564,536
774,81,873,86,213
731,532,926,39,53
215,126,784,158,216
170,458,405,792,158
985,721,471,514,622
720,292,815,63,958
594,789,757,580,852
771,398,568,455,806
677,719,100,892,382
363,18,511,409,950
525,668,127,102,33
887,995,657,142,515
680,465,26,791,590
328,441,928,421,117
508,254,517,271,124
16,59,505,224,693
477,792,540,866,741
99,837,885,524,250
794,38,947,263,14
408,80,971,326,242
534,98,743,567,463
435,876,135,625,679
457,18,109,825,437
535,705,433,618,706
196,327,586,154,106
639,550,807,960,463
158,546,957,614,567
665,414,880,605,412
926,701,77,876,785
745,947,259,225,550
6,821,394,931,950
865,344,256,489,210
581,885,309,734,165
595,811,356,313,419
861,659,814,640,42
229,493,356,560,233
187,629,393,918,609
13,948,778,642,873
611,310,394,657,884
947,945,987,293,526
52,13,948,787,400
474,702,96,762,829
725,936,464,222,17
989,890,726,521,571
814,752,912,114,231
876,552,339,422,803
397,362,979,764,410
940,736,690,841,910
530,198,593,199,938
476,678,496,431,169
78,246,141,712,233
968,830,418,292,768
651,341,109,983,579
348,865,653,265,292
344,822,583,115,56
926,27,115,260,982
119,421,219,475,424
829,98,993,636,758
169,232,831,37,88
138,420,323,176,455
890,785,702,995,337
634,300,590,110,423
284,41,815,86,8
295,724,44,498,120
121,988,631,306,899
954,935,381,357,722
