temperature,oxygen,heat,humidity,pressure
543,882,997,322,706
587,166,648,644,975
142,619,843,349,800
699,406,252,31,790
834,477,565,588,525
455,785,702,943,974
904,564,412,100,661
87,550,717,611,748
166,863,390,556,458
192,394,322,111,125
294,738,562,762,162
878,345,865,302,647
912,118,378,121,139
130,853,853,967,836
295,339,81,100,291
99,87,477,599,922
490,765,64,23,63
271,844,190,926,601
94,374,663,855,153
731,759,653,534,478
189,490,237,152,839
557,195,504,493,889
956,137,186,429,218
529,304,171,497,114
183,361,395,294,950
61,284,21,566,715
521,918,387,434,517
652,725,414,972,29
52,774,496,173,542
620,944,639,151,595
938,909,285,842,837
759,274,523,641,693
313,860,916,793,688
810,859,587,562,916
356,738,341,449,341
723,568,20,397,45
569,630,762,18,453
504,162,909,539,26
783,127,814,451,66
302,439,529,20,454
359,17,564,166,560
286,427,521,472,115
833,27,398,176,526
195,197,68,512,139
312,491,878,178,723
149,540,31,685,812
702,920,237,161,915
123,740,291,762,878
236,951,430,18,163
811,518,561,403,786
624,511,365,686,239
180,846,251,350,403
865,444,221,466,820
430,364,819,231,146
722,452,247,585,904
834,4,285,108,315
110,780,108,636,663
464,485,773,251,508
46,271,967,643,924
55,287,522,281,651
699,78,281,111,474
118,585,343,30,777
636,264,920,581,782
584,770,449,799,945
779,486,434,965,535
773,193,558,588,977
669,248,593,83,595
600,670,659,815,280
632,127,835,837,602
269,453,610,92,502
432,1000,692,632,305
158,397,677,451,194
64,100,3,324,100
323,39,945,740,774
969,333,615,222,506
978,185,995,24,612
730,544,889,503,87
983,622,652,928,244
270,502,257,780,967
557,155,5,899,932
181,82,129,900,651
109,768,731,748,291
435,218,437,338,374
88,658,327,310,280
585,29,170,127,468
279,156,529,314,326
244,73,276,449,703
470,359,189,461,149
59,391,229,616,22
983,758,605,837,248
565,482,666,401,173
867,617,858,544,743
698,898,984,196,67
657,196,305,721,691
212,856,527,221,837
371,307,933,659,396
599,867,493,566,455
41,958,148,899,598
560,361,457,510,524
147,121,129,629,618
565,602,38,421,177
939,830,445,894,465
427,131,503,611,599
711,929,166,852,190
594,999,33,110,372
115,432,578,111,470
110,222,91,502,59
199,975,33,172,385
610,533,261,514,118
864,140,733,54,206
689,7,927,947,102
456,511,128,808,166
453,96,878,510,677
716,161,814,544,867
434,962,9,172,576
960,218,731,233,3
80,469,497,610,390
273,405,278,371,924
885,724,206,465,912
815,704,991,885,915
394,24,178,479,624
979,685,222,698,38
239,63,372,823,394
712,285,814,178,526
619,227,495,689,314
193,317,284,141,906
207,159,542,208,255
124,114,138,572,961
707,465,998,200,192
756,987,607,736,572
62,282,521,202,441
620,417,240,803,303
431,652,988,357,935
476,534,436,12,527
834,282,619,708,30
532,41,599,588,154
851,284,523,770,840
985,785,471,122,143
642,454,314,827,709
158,477,220,44,158
409,558,563,624,22
760,353,481,562,96
975,287,987,947,385
771,588,710,805,916
984,917,410,235,982
479,806,214,480,289
322,445,457,865,238
571,821,182,391,753
276,873,427,172,859
721,529,313,72,236
203,829,16,167,282
40,855,697,40,546
803,127,236,240,502
467,868,240,368,468
357,436,1,65,746
427,859,540,331,441
374,298,644,716,863
265,311,824,856,880
348,502,574,401,212
759,65,901,269,496
559,5,870,802,531
703,707,935,140,513
441,190,12,577,391
723,900,532,126,982
549,29,384,800,554
941,194,695,693,743
190,332,703,22,451
964,393,635,758,468
591,466,606,480,671
47,944,155,579,263
710,265,207,332,366
559,207,382,525,846
376,395,375,358,131
101,944,422,867,668
856,732,170,842,574
656,208,630,70,966
769,806,421,858,146
967,355,966,156,603
190,776,791,578,399
759,755,577,125,638
117,522,982,323,18
696,671,99,728,7
383,639,763,439,149
722,536,190,651,905
676,587,603,810,821
453,146,822,330,364
247,629,703,632,501
387,320,670,826,903
860,733,794,837,451
53,612,593,302,649
279,976,349,697,626
318,45,309,891,85
515,581,748,666,212
625,918,973,186,762
171,610,708,939,395
751,551,339,97,376
214,344,409,435,280
299,326,369,777,880
956,197,138,353,433
783,906,565,157,67
103,673,599,236,622
560,456,495,63,621
716,666,316,617,416
534,231,38,190,788
18,919,418,967,784
