temperature,oxygen,heat,humidity,pressure
375,61,156,853,230
929,412,307,858,947
696,170,526,164,124
63,930,48,471,879
9,281,392,275,506
54,95,617,46,715
544,604,927,151,119
278,649,845,829,958
892,257,918,745,570
372,522,433,480,917
184,912,917,449,203
825,598,418,484,977
73,149,217,630,50
912,281,207,405,947
327,586,74,296,744
317,156,212,523,93
1,971,275,504,995
180,773,365,440,187
553,318,582,769,704
399,718,866,763,921
481,711,179,614,999
288,706,494,743,211
110,639,917,973,564
754,235,589,749,371
458,46,560,647,318
503,110,72,665,818
180,218,382,650,905
270,25,562,900,133
36,600,906,128,334
832,243,473,221,92
344,824,323,970,417
48,501,302,511,810
992,237,328,504,58
979,789,937,589,583
432,209,14,307,727
120,612,748,734,206
155,19,517,430,246
388,259,215,611,102
601,538,801,355,742
976,486,710,132,219
261,374,954,427,421
905,461,58,385,542
874,526,760,674,320
194,277,747,284,359
644,816,563,965,498
973,162,540,430,902
669,461,358,625,933
940,412,296,94,372
168,544,213,601,7
381,812,571,61,636
143,936,6,760,538
308,372,233,700,84
146,59,120,412,811
206,545,772,477,882
705,573,812,93,644
933,711,639,911,709
438,966,878,989,37
541,186,92,368,86
156,162,140,65,271
178,423,681,928,702
748,143,298,192,10
693,700,216,986,455
796,434,903,98,101
87,693,518,868,92
411,910,662,708,87
467,436,369,465,115
166,227,369,167,959
830,859,753,748,769
656,639,359,610,37
738,884,107,52,656
496,847,499,51,218
432,34,566,841,883
262,586,652,610,582
64,643,587,340,311
979,774,589,293,566
818,264,756,502,229
824,223,346,460,364
940,891,777,264,945
957,906,64,778,112
961,32,275,212,542
999,637,424,412,552
789,492,791,894,395
85,953,143,186,906
137,193,646,635,604
293,641,469,102,881
987,388,210,736,742
814,827,574,886,787
1000,394,401,953,276
688,690,312,470,456
200,413,342,259,832
386,549,344,286,914
211,807,921,551,739
217,46,828,144,40
558,63,860,934,343
271,303,53,425,757
654,982,696,251,402
843,471,903,569,449
33,473,689,744,991
187,374,626,620,789
726,319,448,369,522
546,358,301,678,826
749,589,648,591,258
957,676,197,105,478
26,635,101,453,543
557,607,538,394,804
327,440,250,486,834
790,407,454,204,563
579,180,644,162,723
417,641,12,131,745
644,517,511,939,687
829,431,1,436,444
90,438,71,473,884
551,194,718,114,462
