timestamp,roll,pitch,yaw,pressure,oxygen,depth,2_roll,2_pitch,2_yaw,2_pressure,2_oxygen,2_depth
1617120237.1131873,168,168,168,168,168,168,108,108,108,108,108,108
1617120237.1770453,168,168,168,168,168,168,108,108,108,108,108,108
1617120237.2418714,167,167,167,167,167,167,108,108,108,108,108,108
1617120237.3206332,166,166,166,166,166,166,109,109,109,109,109,109
1617120237.3854961,166,166,166,166,166,166,109,109,109,109,109,109
1617120237.4492903,165,165,165,165,165,165,109,109,109,109,109,109
1617120237.5113518,164,164,164,164,164,164,110,110,110,110,110,110
1617120237.5762086,164,164,164,164,164,164,110,110,110,110,110,110
1617120237.64289,163,163,163,163,163,163,110,110,110,110,110,110
1617120237.721711,162,162,162,162,162,162,111,111,111,111,111,111
1617120237.7865083,162,162,162,162,162,162,111,111,111,111,111,111
1617120237.8528957,161,161,161,161,161,161,111,111,111,111,111,111
1617120237.9127767,161,161,161,161,161,161,111,111,111,111,111,111
1617120237.9775624,160,160,160,160,160,160,112,112,112,112,112,112
1617120238.0543883,159,159,159,159,159,159,112,112,112,112,112,112
1617120238.119862,159,159,159,159,159,159,113,113,113,113,113,113
1617120238.1836138,158,158,158,158,158,158,113,113,113,113,113,113
1617120238.2484648,157,157,157,157,157,157,113,113,113,113,113,113
1617120238.3133204,157,157,157,157,157,157,113,113,113,113,113,113
1617120238.3786547,156,156,156,156,156,156,114,114,114,114,114,114
1617120238.4564157,155,155,155,155,155,155,114,114,114,114,114,114
1617120238.520274,155,155,155,155,155,155,115,115,115,115,115,115
1617120238.5841022,154,154,154,154,154,154,115,115,115,115,115,115
1617120238.6489031,154,154,154,154,154,154,115,115,115,115,115,115
1617120238.7119129,153,153,153,153,153,153,115,115,115,115,115,115
1617120238.7934911,152,152,152,152,152,152,116,116,116,116,116,116
1617120238.8562727,152,152,152,152,152,152,116,116,116,116,116,116
1617120238.9211051,151,151,151,151,151,151,117,117,117,117,117,117
1617120238.9850857,150,150,150,150,150,150,117,117,117,117,117,117
1617120239.0489168,150,150,150,150,150,150,117,117,117,117,117,117
1617120239.1113944,149,149,149,149,149,149,117,117,117,117,117,117
1617120239.1909807,148,148,148,148,148,148,118,118,118,118,118,118
1617120239.258698,148,148,148,148,148,148,118,118,118,118,118,118
1617120239.3275135,147,147,147,147,147,147,119,119,119,119,119,119
1617120239.423299,146,146,146,146,146,146,119,119,119,119,119,119
1617120239.51791,145,145,145,145,145,145,119,119,119,119,119,119
1617120239.5917132,145,145,145,145,145,145,120,120,120,120,120,120
1617120239.6575084,144,144,144,144,144,144,120,120,120,120,120,120
1617120239.7229261,143,143,143,143,143,143,121,121,121,121,121,121
1617120239.7857282,143,143,143,143,143,143,121,121,121,121,121,121
1617120239.8506293,142,142,142,142,142,142,121,121,121,121,121,121
1617120239.9282246,141,141,141,141,141,141,122,122,122,122,122,122
1617120239.9930809,141,141,141,141,141,141,122,122,122,122,122,122
1617120240.0588758,140,140,140,140,140,140,122,122,122,122,122,122
1617120240.1203845,140,140,140,140,140,140,122,122,122,122,122,122
1617120240.1852124,139,139,139,139,139,139,123,123,123,123,123,123
1617120240.2550943,138,138,138,138,138,138,123,123,123,123,123,123
1617120240.3289216,137,137,137,137,137,137,124,124,124,124,124,124
1617120240.3935726,137,137,137,137,137,137,124,124,124,124,124,124
1617120240.4763527,136,136,136,136,136,136,124,124,124,124,124,124
1617120240.553146,136,136,136,136,136,136,125,125,125,125,125,125
1617120240.6170397,135,135,135,135,135,135,125,125,125,125,125,125
1617120240.6958292,134,134,134,134,134,134,125,125,125,125,125,125
1617120240.7616243,133,133,133,133,133,133,126,126,126,126,126,126
1617120240.8264518,133,133,133,133,133,133,126,126,126,126,126,126
1617120240.8893833,132,132,132,132,132,132,126,126,126,126,126,126
1617120240.9545293,132,132,132,132,132,132,127,127,127,127,127,127
1617120241.0333204,131,131,131,131,131,131,127,127,127,127,127,127
1617120241.1171548,130,130,130,130,130,130,127,127,127,127,127,127
1617120241.1931658,129,129,129,129,129,129,128,128,128,128,128,128
1617120241.2569966,129,129,129,129,129,129,128,128,128,128,128,128
1617120241.320826,128,128,128,128,128,128,128,128,128,128,128,128
1617120241.3984373,128,128,128,128,128,128,129,129,129,129,129,129
1617120241.46526,127,127,127,127,127,127,129,129,129,129,129,129
1617120241.5281055,126,126,126,126,126,126,129,129,129,129,129,129
1617120241.596907,126,126,126,126,126,126,130,130,130,130,130,130
1617120241.657745,125,125,125,125,125,125,130,130,130,130,130,130
1617120241.7385285,125,125,125,125,125,125,130,130,130,130,130,130
1617120241.8013606,124,124,124,124,124,124,131,131,131,131,131,131
1617120241.864192,123,123,123,123,123,123,131,131,131,131,131,131
1617120241.9290469,123,123,123,123,123,123,131,131,131,131,131,131
1617120241.993846,122,122,122,122,122,122,132,132,132,132,132,132
1617120242.0577116,121,121,121,121,121,121,132,132,132,132,132,132
1617120242.111532,121,121,121,121,121,121,132,132,132,132,132,132
1617120242.2013202,120,120,120,120,120,120,133,133,133,133,133,133
1617120242.2669294,119,119,119,119,119,119,133,133,133,133,133,133
1617120242.3317592,119,119,119,119,119,119,133,133,133,133,133,133
1617120242.3936062,118,118,118,118,118,118,134,134,134,134,134,134
1617120242.4748406,118,118,118,118,118,118,134,134,134,134,134,134
1617120242.5379214,117,117,117,117,117,117,134,134,134,134,134,134
1617120242.6027799,116,116,116,116,116,116,135,135,135,135,135,135
1617120242.6676164,116,116,116,116,116,116,135,135,135,135,135,135
1617120242.7304485,115,115,115,115,115,115,135,135,135,135,135,135
1617120242.8112323,114,114,114,114,114,114,136,136,136,136,136,136
1617120242.8740647,114,114,114,114,114,114,136,136,136,136,136,136
1617120242.9369247,113,113,113,113,113,113,136,136,136,136,136,136
1617120243.000818,113,113,113,113,113,113,137,137,137,137,137,137
1617120243.066574,112,112,112,112,112,112,137,137,137,137,137,137
1617120243.1486018,111,111,111,111,111,111,137,137,137,137,137,137
1617120243.2094033,111,111,111,111,111,111,138,138,138,138,138,138
1617120243.27423,110,110,110,110,110,110,138,138,138,138,138,138
1617120243.336662,109,109,109,109,109,109,138,138,138,138,138,138
1617120243.400493,109,109,109,109,109,109,138,138,138,138,138,138
1617120243.467315,108,108,108,108,108,108,139,139,139,139,139,139
1617120243.5226753,108,108,108,108,108,108,139,139,139,139,139,139
1617120243.5816088,107,107,107,107,107,107,139,139,139,139,139,139
1617120243.642448,106,106,106,106,106,106,140,140,140,140,140,140
1617120243.7044492,106,106,106,106,106,106,140,140,140,140,140,140
1617120243.7692769,105,105,105,105,105,105,140,140,140,140,140,140
1617120243.8322344,104,104,104,104,104,104,141,141,141,141,141,141
1617120243.911643,104,104,104,104,104,104,141,141,141,141,141,141
1617120243.9764702,103,103,103,103,103,103,141,141,141,141,141,141
1617120244.0417204,102,102,102,102,102,102,142,142,142,142,142,142
1617120244.106546,102,102,102,102,102,102,142,142,142,142,142,142
1617120244.2002966,101,101,101,101,101,101,142,142,142,142,142,142
1617120244.282105,100,100,100,100,100,100,143,143,143,143,143,143
1617120244.3469043,99,99,99,99,99,99,143,143,143,143,143,143
1617120244.408738,99,99,99,99,99,99,143,143,143,143,143,143
1617120244.4735644,98,98,98,98,98,98,144,144,144,144,144,144
1617120244.5367005,97,97,97,97,97,97,144,144,144,144,144,144
1617120244.601555,97,97,97,97,97,97,144,144,144,144,144,144
1617120244.678346,96,96,96,96,96,96,145,145,145,145,145,145
1617120244.7451446,95,95,95,95,95,95,145,145,145,145,145,145
1617120244.808973,95,95,95,95,95,95,145,145,145,145,145,145
1617120244.8728023,94,94,94,94,94,94,146,146,146,146,146,146
1617120244.9427168,94,94,94,94,94,94,146,146,146,146,146,146
1617120245.0215342,93,93,93,93,93,93,146,146,146,146,146,146
1617120245.1002965,92,92,92,92,92,92,147,147,147,147,147,147
1617120245.1731951,91,91,91,91,91,91,147,147,147,147,147,147
1617120245.241015,90,90,90,90,90,90,148,148,148,148,148,148
1617120245.3038807,90,90,90,90,90,90,148,148,148,148,148,148
1617120245.3843315,89,89,89,89,89,89,148,148,148,148,148,148
1617120245.449593,89,89,89,89,89,89,149,149,149,149,149,149
1617120245.5124722,88,88,88,88,88,88,149,149,149,149,149,149
1617120245.57793,87,87,87,87,87,87,149,149,149,149,149,149
1617120245.641787,87,87,87,87,87,87,150,150,150,150,150,150
1617120245.7055895,86,86,86,86,86,86,150,150,150,150,150,150
1617120245.784543,86,86,86,86,86,86,150,150,150,150,150,150
1617120245.8499491,85,85,85,85,85,85,151,151,151,151,151,151
1617120245.913808,84,84,84,84,84,84,151,151,151,151,151,151
1617120245.9766104,84,84,84,84,84,84,151,151,151,151,151,151
1617120246.0404687,83,83,83,83,83,83,151,151,151,151,151,151
1617120246.1182323,83,83,83,83,83,83,152,152,152,152,152,152
1617120246.1870482,82,82,82,82,82,82,152,152,152,152,152,152
1617120246.2815228,81,81,81,81,81,81,153,153,153,153,153,153
1617120246.3455014,80,80,80,80,80,80,153,153,153,153,153,153
1617120246.4095683,80,80,80,80,80,80,153,153,153,153,153,153
1617120246.489035,79,79,79,79,79,79,154,154,154,154,154,154
1617120246.5524025,78,78,78,78,78,78,154,154,154,154,154,154
1617120246.6162326,78,78,78,78,78,78,154,154,154,154,154,154
1617120246.682027,77,77,77,77,77,77,155,155,155,155,155,155
1617120246.744859,77,77,77,77,77,77,155,155,155,155,155,155
1617120246.8116806,76,76,76,76,76,76,155,155,155,155,155,155
1617120246.89047,76,76,76,76,76,76,156,156,156,156,156,156
1617120246.9524477,75,75,75,75,75,75,156,156,156,156,156,156
1617120247.0162787,74,74,74,74,74,74,156,156,156,156,156,156
1617120247.0825546,74,74,74,74,74,74,157,157,157,157,157,157
1617120247.1464145,73,73,73,73,73,73,157,157,157,157,157,157
1617120247.226172,72,72,72,72,72,72,157,157,157,157,157,157
1617120247.290001,72,72,72,72,72,72,157,157,157,157,157,157
1617120247.3526452,71,71,71,71,71,71,158,158,158,158,158,158
1617120247.4176831,71,71,71,71,71,71,158,158,158,158,158,158
1617120247.4819973,70,70,70,70,70,70,158,158,158,158,158,158
1617120247.5474782,70,70,70,70,70,70,159,159,159,159,159,159
1617120247.6172931,69,69,69,69,69,69,159,159,159,159,159,159
1617120247.6889873,68,68,68,68,68,68,159,159,159,159,159,159
1617120247.7548113,68,68,68,68,68,68,160,160,160,160,160,160
1617120247.8166459,67,67,67,67,67,67,160,160,160,160,160,160
1617120247.8820322,66,66,66,66,66,66,160,160,160,160,160,160
1617120247.9578307,66,66,66,66,66,66,161,161,161,161,161,161
1617120248.027645,65,65,65,65,65,65,161,161,161,161,161,161
1617120248.0894792,64,64,64,64,64,64,161,161,161,161,161,161
1617120248.1543055,64,64,64,64,64,64,162,162,162,162,162,162
1617120248.2193618,63,63,63,63,63,63,162,162,162,162,162,162
1617120248.2817183,62,62,62,62,62,62,162,162,162,162,162,162
1617120248.362474,62,62,62,62,62,62,163,163,163,163,163,163
1617120248.4272983,61,61,61,61,61,61,163,163,163,163,163,163
1617120248.4881647,61,61,61,61,61,61,163,163,163,163,163,163
1617120248.5539598,60,60,60,60,60,60,164,164,164,164,164,164
1617120248.6168358,59,59,59,59,59,59,164,164,164,164,164,164
1617120248.6956563,59,59,59,59,59,59,164,164,164,164,164,164
1617120248.75749,58,58,58,58,58,58,165,165,165,165,165,165
1617120248.827275,57,57,57,57,57,57,165,165,165,165,165,165
1617120248.8889594,57,57,57,57,57,57,165,165,165,165,165,165
1617120248.9527905,56,56,56,56,56,56,166,166,166,166,166,166
1617120249.0160673,56,56,56,56,56,56,166,166,166,166,166,166
1617120249.0980387,55,55,55,55,55,55,166,166,166,166,166,166
1617120249.16087,54,54,54,54,54,54,167,167,167,167,167,167
1617120249.228661,54,54,54,54,54,54,167,167,167,167,167,167
1617120249.2929938,53,53,53,53,53,53,167,167,167,167,167,167
1617120249.3568242,52,52,52,52,52,52,168,168,168,168,168,168
