timestamp,depth,temperature,oxygen,longitude,latitude,roll,pitch,yaw
1620125512.6510346,103,103,103,6.977751000000029,62.383713,44,44,44
1620125512.7446496,104,104,104,6.977753000000029,62.383713,43,43,43
1620125512.8373554,105,105,105,6.9777550000000295,62.383713,43,43,43
1620125512.9151223,106,106,106,6.97775700000003,62.383713,43,43,43
1620125513.0064209,107,107,107,6.97775900000003,62.383713,42,42,42
1620125513.1008635,108,108,108,6.97776100000003,62.383713,42,42,42
1620125513.1935534,109,109,109,6.977763000000031,62.383713,41,41,41
1620125513.2872488,109,109,109,6.977763000000031,62.383713,41,41,41
1620125513.3815837,110,110,110,6.977765000000031,62.383713,40,40,40
1620125513.4739566,111,111,111,6.977767000000031,62.383713,40,40,40
1620125513.5670614,112,112,112,6.977769000000031,62.383713,39,39,39
1620125513.6592166,113,113,113,6.977771000000032,62.383713,39,39,39
1620125513.7523267,114,114,114,6.977773000000032,62.383713,38,38,38
1620125513.8437893,115,115,115,6.977775000000032,62.383713,38,38,38
1620125513.9200764,116,116,116,6.9777770000000325,62.383713,38,38,38
1620125513.9966288,117,117,117,6.977779000000033,62.383713,37,37,37
1620125514.0899928,117,117,117,6.977779000000033,62.383713,37,37,37
1620125514.1825695,118,118,118,6.977781000000033,62.383713,36,36,36
1620125514.2764845,119,119,119,6.977783000000033,62.383713,36,36,36
1620125514.355958,120,120,120,6.977785000000034,62.383713,35,35,35
1620125514.448666,121,121,121,6.977787000000034,62.383713,35,35,35
1620125514.543357,122,122,122,6.977789000000034,62.383713,35,35,35
1620125514.6352036,123,123,123,6.9777910000000345,62.383713,34,34,34
1620125514.7279704,124,124,124,6.977793000000035,62.383713,34,34,34
1620125514.82222,125,125,125,6.977795000000035,62.383713,33,33,33
1620125514.913988,126,126,126,6.977797000000035,62.383713,33,33,33
1620125514.992646,126,126,126,6.977797000000035,62.383713,32,32,32
1620125515.084064,127,127,127,6.977799000000036,62.383713,32,32,32
1620125515.1767209,128,128,128,6.977801000000036,62.383713,31,31,31
1620125515.2722378,129,129,129,6.977803000000036,62.383713,31,31,31
1620125515.350486,130,130,130,6.9778050000000365,62.383713,30,30,30
1620125515.444116,131,131,131,6.977807000000037,62.383713,30,30,30
1620125515.5371752,132,132,132,6.977809000000037,62.383713,30,30,30
1620125515.6278346,133,133,133,6.977811000000037,62.383713,29,29,29
1620125515.7053044,133,133,133,6.977811000000037,62.383713,29,29,29
1620125515.7989936,134,134,134,6.977813000000038,62.383713,28,28,28
1620125515.8769467,135,135,135,6.977815000000038,62.383713,28,28,28
1620125515.9697056,136,136,136,6.977817000000038,62.383713,27,27,27
1620125516.0617259,137,137,137,6.977819000000038,62.383713,27,27,27
1620125516.154155,138,138,138,6.977821000000039,62.383713,27,27,27
1620125516.2477145,139,139,139,6.977823000000039,62.383713,26,26,26
1620125516.341047,140,140,140,6.977825000000039,62.383713,26,26,26
1620125516.4356344,141,141,141,6.9778270000000395,62.383713,25,25,25
1620125516.5281827,142,142,142,6.97782900000004,62.383713,25,25,25
1620125516.6222346,142,142,142,6.97782900000004,62.383713,24,24,24
1620125516.716753,143,143,143,6.97783100000004,62.383713,24,24,24
1620125516.809794,144,144,144,6.97783300000004,62.383713,23,23,23
1620125516.9030602,145,145,145,6.977835000000041,62.383713,23,23,23
1620125516.9957461,146,146,146,6.977837000000041,62.383713,23,23,23
1620125517.0890408,147,147,147,6.977839000000041,62.383713,22,22,22
1620125517.181789,148,148,148,6.9778410000000415,62.383713,22,22,22
1620125517.2763538,149,149,149,6.977843000000042,62.383713,21,21,21
1620125517.370334,150,150,150,6.977845000000042,62.383713,21,21,21
1620125517.4636204,151,151,151,6.977847000000042,62.383713,20,20,20
1620125517.5568378,152,152,152,6.977849000000043,62.383713,20,20,20
1620125517.6490216,153,153,153,6.977851000000043,62.383713,19,19,19
1620125517.7410517,154,154,154,6.977853000000043,62.383713,19,19,19
1620125517.8334973,155,155,155,6.977855000000043,62.383713,18,18,18
1620125517.9257085,155,155,155,6.977855000000043,62.383713,18,18,18
1620125518.020025,156,156,156,6.977857000000044,62.383713,17,17,17
1620125518.1135142,157,157,157,6.977859000000044,62.383713,17,17,17
1620125518.2067652,158,158,158,6.977861000000044,62.383713,17,17,17
1620125518.2844505,159,159,159,6.977863000000045,62.383713,16,16,16
1620125518.3761976,160,160,160,6.977865000000045,62.383713,16,16,16
1620125518.4680767,161,161,161,6.977867000000045,62.383713,15,15,15
1620125518.5600972,162,162,162,6.977869000000045,62.383713,15,15,15
1620125518.651983,163,163,163,6.977871000000046,62.383713,14,14,14
1620125518.7448635,163,163,163,6.977871000000046,62.383713,14,14,14
1620125518.8380995,164,164,164,6.977873000000046,62.383713,13,13,13
1620125518.9309883,165,165,165,6.977875000000046,62.383713,13,13,13
1620125519.0242012,166,166,166,6.9778770000000465,62.383713,12,12,12
1620125519.1179585,167,167,167,6.977879000000047,62.383713,12,12,12
1620125519.2136772,168,168,168,6.977881000000047,62.383713,12,12,12
1620125519.3060505,169,169,169,6.977883000000047,62.383713,11,11,11
1620125519.4000854,170,170,170,6.977885000000048,62.383713,11,11,11
1620125519.493626,171,171,171,6.977887000000048,62.383713,10,10,10
1620125519.588183,172,172,172,6.977889000000048,62.383713,10,10,10
1620125519.6800823,173,173,173,6.9778910000000485,62.383713,9,9,9
1620125519.7720697,174,174,174,6.977893000000049,62.383713,9,9,9
1620125519.8647692,174,174,174,6.977893000000049,62.383713,8,8,8
1620125519.9572618,175,175,175,6.977895000000049,62.383713,8,8,8
1620125520.0205357,176,176,176,6.977897000000049,62.383713,8,8,8
1620125520.1267006,177,177,177,6.97789900000005,62.383713,7,7,7
1620125520.2043586,178,178,178,6.97790100000005,62.383713,7,7,7
1620125520.2964153,179,179,179,6.97790300000005,62.383713,6,6,6
1620125520.3899603,180,180,180,6.97790500000005,62.383713,6,6,6
1620125520.4827013,180,180,180,6.97790500000005,62.383713,5,5,5
1620125520.5747297,181,181,181,6.977907000000051,62.383713,5,5,5
1620125520.6689646,182,182,182,6.977909000000051,62.383713,4,4,4
1620125520.7625854,183,183,183,6.977911000000051,62.383713,4,4,4
1620125520.8529816,184,184,184,6.9779130000000515,62.383713,3,3,3
1620125520.944978,185,185,185,6.977915000000052,62.383713,3,3,3
1620125521.0371048,185,185,185,6.977915000000052,62.383713,3,3,3
1620125521.1286047,186,186,186,6.977917000000052,62.383713,2,2,2
1620125521.2223942,187,187,187,6.977919000000052,62.383713,2,2,2
1620125521.3149505,188,188,188,6.977921000000053,62.383713,1,1,1
1620125521.4089518,189,189,189,6.977923000000053,62.383713,1,1,1
1620125521.485706,190,190,190,6.977925000000053,62.383713,0,0,0
1620125521.5767472,191,191,191,6.9779270000000535,62.383713,0,0,0
1620125521.670966,192,192,192,6.977929000000054,62.383713,1,1,1
1620125521.7650287,193,193,193,6.977931000000054,62.383713,1,1,1
1620125521.8576865,194,194,194,6.977933000000054,62.383713,2,2,2
1620125521.9493957,195,195,195,6.977935000000055,62.383713,2,2,2
1620125522.0428786,195,195,195,6.977935000000055,62.383713,2,2,2
1620125522.1349237,196,196,196,6.977937000000055,62.383713,3,3,3
1620125522.2290165,197,197,197,6.977939000000055,62.383713,3,3,3
1620125522.3229961,198,198,198,6.9779410000000555,62.383713,4,4,4
1620125522.4154441,199,199,199,6.977943000000056,62.383713,4,4,4
1620125522.5100834,200,200,200,6.977945000000056,62.383713,5,5,5
1620125522.6019661,201,201,201,6.977943000000056,62.383713,5,5,5
1620125522.693883,200,200,200,6.9779410000000555,62.383713,6,6,6
1620125522.78939,199,199,199,6.977939000000055,62.383713,6,6,6
1620125522.8803658,198,198,198,6.977937000000055,62.383713,6,6,6
